브랜드,상호,주소,시도,군구,위도,경도,전화 번호,24시간,DT 매장,주차,테라스,흡연시설,서비스 제공 개수
할리스,서서울공원점,서울특별시 양천구 남부순환로58길 37 신월동 205-36,서울특별시,양천구,37.5291587223783,126.831707115465,070-4277-6756,no,no,yes,yes,no,2
할리스,덕성여대점,서울시 강북구 삼양로 547 1~3층,서울시,강북구,37.6516375000425,127.012463182729,02-6093-0011,no,no,yes,yes,no,2
할리스,고덕비즈밸리점,서울특별시 강동구 고덕비즈밸리로 38 (고덕동) KS타워 101호~102호,서울특별시,강동구,37.5662716017863,127.15962203189,070-7782-0055,no,no,yes,yes,no,2
할리스,소월아트홀점,서울특별시 성동구 왕십리로 275-1 (행당동 133-2),서울특별시,성동구,37.5589650309639,127.036892174319,02-2294-7002,no,no,yes,yes,yes,3
할리스,잠실새내역점,"서울특별시 송파구 올림픽로12길 8 (잠실동, 제일빌딩)",서울특별시,송파구,37.5109956587836,127.082785706876,02-416-2085,no,no,no,yes,yes,2
할리스,등촌역점,서울특별시 강서구 등촌로 229 (등촌동) 1~2층,서울특별시,강서구,37.5502242501914,126.863458548999,02-2655-2290,no,no,yes,yes,no,2
할리스,북한산DI점,"서울특별시 은평구 북한산로 248-8 (진관동, 자돈)",서울특별시,은평구,37.6518581234721,126.938554425363,02-3157-4843,no,no,yes,yes,no,2
할리스,노원역점,"서울특별시 노원구 노해로 488 (상계동, 근호빌딩) 1층",서울특별시,노원구,37.6543222923845,127.062168567542,02-933-8824,no,no,yes,yes,no,2
할리스,강남역2점,"서울특별시 강남구 강남대로 422 (역삼동) 역삼동816,816-7,816-8",서울특별시,강남구,37.5003941401087,127.026984908497,02-568-9056,no,no,yes,yes,no,2
할리스,중앙대점,서울특별시 동작구 흑석로 77 (흑석동) 1~4층,서울특별시,동작구,37.5069826807571,126.958246364678,02-3280-3280,no,no,no,yes,yes,2
할리스,구로디지털점,"서울특별시 구로구 디지털로31길 12  1층 105,106호 (구로동 197-21)",서울특별시,구로구,37.4851756855256,126.894869839407,070-7576-4842,no,no,yes,yes,no,2
할리스,대방역점,"서울특별시 동작구 알마타길 6 (대방동, 파밀리에 하늘마루) 101호, 102호",서울특별시,동작구,37.5098570948466,126.924954157932,02-825-6369,no,no,yes,yes,no,2
할리스,구로디지털단지역점,서울특별시 구로구 디지털로32나길 38 (서림빌딩) 1층,서울특별시,구로구,37.4845445851058,126.901198477768,02-851-3365,no,no,yes,yes,no,2
할리스,코엑스점,"서울특별시 강남구 영동대로 513, 코엑스 지하 1층  C113호 (삼성동 159)  할리스",서울특별시,강남구,37.5118239121138,127.059159043842,02-6002-3100,no,no,yes,yes,no,2
할리스,명동퍼시픽호텔점,"서울특별시 중구 퇴계로20길 2 (남산동2가, 퍼시픽호텔) 1층",서울특별시,중구,37.5597163723303,126.985434663205,02-3789-8747,no,no,yes,no,yes,2
할리스,난곡사거리점,서울 관악구 남부순환로 1489 신림동 526-13,서울,관악구,37.4824306834797,126.916178390768,02-865-0012,no,no,yes,no,yes,2
할리스,충정래미안점,서울특별시 중구 중림로 21 (더플레이스충정로) B204호,서울특별시,중구,37.558980785321,126.966068233101,02-363-1388,no,no,yes,yes,no,2
할리스,노량진역점,서울특별시 동작구 노량진로 157 2-5층,서울특별시,동작구,37.5139791754713,126.9433563073,02-827-0280,yes,no,no,no,yes,2
할리스,굽은다리역점,"서울특별시 강동구 양재대로 1591 , 1층 (천호동 31-2)",서울특별시,강동구,37.5476808183203,127.143015082712,02-488-5077,yes,no,yes,no,no,2
할리스,광화문LG점,"서울특별시 종로구 새문안로 58 (신문로2가, LG광화문빌딩) 1층, 지하1층",서울특별시,종로구,37.5692750422255,126.971580539397,02-720-6994,no,no,yes,no,yes,2
할리스,건대입구점,서울특별시 광진구 아차산로 235 (화양동)  235 (화양동),서울특별시,광진구,37.5406129331373,127.069530225646,02-463-1983,no,no,no,yes,yes,2
할리스,이수역점,"서울특별시 동작구 동작대로 83 (사당동, 헤라피스빌딩) B1~1층",서울특별시,동작구,37.484012495411,126.981550873132,02-588-4845,no,no,yes,no,yes,2
