제어번호,제목,저자,발행처,발행년도,ISBN번호,분류기호,대출횟수
000001509345,작별하지 않는다 :한강 장편소설,한강 지음,문학동네,2021,9788954682152,8,25
000001485574,완전한 행복 :정유정 장편소설,정유정 지음,은행나무,2021,9791167370280,8,22
000000308691,모순 :양귀자 장편소설,양귀자 지음,쓰다,2013,9788998441012,8,21
000001397603,천 개의 파랑 :한국과학문학상 장편 대상 : 천선란 장편소설,천선란 지음,허블,2020,9791190090261,8,21
000001237941,참을 수 없는 존재의 가벼움,밀란 쿤데라 지음,민음사,2018,9788937437564,8,19
000001222840,파과 :구병모 장편소설,구병모 지음,위즈덤하우스: 위즈덤하우스 미디어그룹,2018,9791162203620,8,19
000001555896,채식주의자 :한강 장편소설,한강 지음,창비,2022,9788936434595,8,7
000001509082,홍학의 자리 :정해연 장편소설,정해연 지음,엘릭시르 : 문학동네,2021,9788954681155,8,18
000000308633,천년의 사랑 :양귀자 소설,양귀자 [지음],쓰다,2013,9788998441029,8,7
000000334677,타인의 고통,수전 손택 지음,이후,2011,9788988105726,3,7
000001667710,이 지랄맞음이 쌓여 축제가 되겠지 :조승리 에세이,조승리 글,달 출판사,2024,9791158161767,8,13
000001756895,청춘의 독서 :세상을 바꾼 위험하고 위대한 생각들,유시민 지음,웅진지식하우스: 웅진씽크빅,2025,9788901294742,0,13
000001509077,"(서울 자가에 대기업 다니는) 김 부장 이야기 .1 ,김 부장 편",송희구 지음,서삼독,2021,9791198517449,3,12
000001508031,밝은 밤 :최은영 장편소설,최은영 지음,문학동네,2021,9788954681179,8,12
000001559772,빛을 걷으면 빛 :성해나 소설,성해나 지음,문학동네,2022,9788954693615,8,12
000001677280,히든 픽처스,제이슨 르쿨락 지음,문학수첩,2024,9791193790083,8,8
000001348836,달리기를 말할 때 내가 하고 싶은 이야기 :세계적 작가 하루키의 달리기를 축으로 한 문학과 인생의 회고록 =What I talk about when I talk about running,무라카미 하루키 지음,문학사상,2009,9788970128337,8,17
000001485420,불편한 편의점 :김호연 장편소설,김호연 지음,나무옆의자,2021,9791161571188,8,17
000001297078,여행의 이유 :김영하 산문,김영하 지음,문학동네,2019,9788954655972,8,17
000000273031,희랍어 시간 :한강 장편소설,한강 지음,문학동네,2011,9788954616515,8,17
000001222932,흰 :한강 소설,한강 지음,문학동네,2018,9788954651134,8,17
000000993834,바깥은 여름 :김애란 소설,김애란 지음,문학동네,2017,9788954646079,8,16
000001304062,나는 소망한다 내게 금지된 것을 :양귀자 장편소설,양귀자 지음,쓰다,2019,9788998441074,8,15
